,id,locus,feature_type_name,notes
13,19693,5 - Very High Confidence;locus_type_name: Agropastoral Infrastructure(5 - Very High Confidence) -- Corral(5 - Very High Confidence),NULL -- NULL,"The image shows two rounded enclosures that are likely corrals, indicated by the visible boundary outlines. The terrain around the structures is uneven, suggesting the presence of natural formations such as ridges. The distribution of enclosures and their shapes are consistent with a corral complex layout."
14,18997,Agropastoral Infrastructure(4 - High Confidence) -- Stone faced contour terraces(4 - High Confidence),NULL -- NULL,"The image displays a consistent pattern of furrows likely used for agricultural purposes, suggesting potential terracing for water management. The distinct linear formations suggest organized crop beds. However, there are no clear signs of prominent architectural or structural features, reducing confidence in identifying domestic architecture. Recent or existing structures seem absent."
15,16501,Agropastoral Infrastructure(3 - Medium Confidence) -- Corral(4 - High Confidence),Corral -- NULL,"The image displays an elevated area with a clear demarcation possibly indicative of a hilltop or mountaintop site. There are faint rectangular formations that suggest a large open space, potentially a plaza or patio. The overall appearance suggests that this area might have been used for ceremonial purposes."
16,41972,Unfortified settlement(4 - High Confidence) -- Estancia(4 - High Confidence),Corral -- NA,"The image displays a complex pattern of enclosed areas, suggesting a corral structure. Visibility is moderate, with outlines that appear consistent with enclosure formations. There are no clear indicators of residential or public structures."
17,21080,Agropastoral Infrastructure(3 - Medium Confidence) -- Corral(4 - High Confidence),Corral -- NULL,"The image shows a distinct circular structure resembling a corral, situated near a waterway. The surrounding area suggests some grazing land, which supports the identification of the corral feature. The clarity of the structure boosts confidence in classification."
18,28084,Unfortified settlement(2 - Low Confidence) -- Estancia(3 - Medium Confidence),Domestic architecture -- Residential structure,"The image shows circular and rectangular structures indicative of a corral complex. The primary feature appears to be a boundary wall that encircles a distinct area, suggesting organized livestock containment. The terrain suggests adapted spaces for managing animals, with visible pathways indicating movement of livestock. The edges of the circles are clearly defined, indicating intentional construction."
19,3128,Unfortified settlement(4 - High Confidence) -- Corral(4 - High Confidence),Corral -- NA,"The image displays an enclosed circular structure, which is indicative of a corral. The presence of this structure suggests it may be used for livestock management, common in agricultural regions. The surrounding area is relatively homogeneous, with no additional prominent features visible."
20,28441,Agropastoral Infrastructure(4 - High Confidence) -- Corral(4 - High Confidence),Corral -- NULL,"The image shows two distinct enclosures suggesting a corral complex. The structures are characterized by their rounded shapes, typical of corrals. There is a marked difference in texture between the enclosures and the surrounding area, indicating deliberate construction. The adjacent subtle line formations might serve as access paths or boundary markers."
21,25133,Unfortified settlement(3 - Medium Confidence) -- Settlement (general)(4 - High Confidence),Plaza/patio -- Patio,"The image shows a series of loosely arranged structures that appear to be a small settlement. The pattern suggests dispersed residential units, possibly with some agricultural activity nearby. Straight lines indicate the presence of walls or barriers, typical of domestic architecture. Some areas appear lightly terraced, indicating possible small-scale farming within the settlement."
22,9763,Residential structure;locus_type_name: Agropastoral Infrastructure(1 - Very Low Confidence) -- Corral(1 - Very Low Confidence),Corral -- Residential structure;locus_type_name: Agropastoral Infrastructure,"The image shows subtle outlines of small rectangular structures indicative of a farmyard or small agricultural buildings. Sparse vegetation and contours suggesting terraced slopes can be seen, although not distinctly visible, indicating possible farming activities. The arrangement of structures suggests a domestic use, possibly sheltering and storage."
23,22629,Unfortified settlement(4 - High Confidence) -- Isolated structure(4 - High Confidence),Plaza/patio -- Patio,"The image shows circular and possibly segmented structures consistent with corrals. The presence of distinct boundaries and enclosed areas suggests livestock management. Vegetation patterns indicate some human influence, possibly for grazing."
24,14699,Unfortified settlement(5 - Very High Confidence) -- Estancia(5 - Very High Confidence),Domestic architecture -- Residential structure,"The image illustrates a landscape characterized by inclined terrains, implying the possibility of sloping fields used for agriculture. The absence of distinct structural features suggests a focus on land topography rather than man-made constructions."
25,20805,Agropastoral Infrastructure(4 - High Confidence) -- Corral(4 - High Confidence),Corral -- NULL,"The image shows a circular structure indicative of a corral, possibly used for livestock. The boundaries are more prominent compared to the surrounding terrain. No clear signs of residential architecture or terracing are present in this area. The structure’s isolation suggests it may be part of a larger grazing complex."
26,16606,5 - Very High Confidence;locus_type_name: Agropastoral Infrastructure(5 - Very High Confidence) -- Corral(5 - Very High Confidence),NULL -- NULL,"This image shows undulating patterns that suggest the presence of furrowed crop fields, possibly indicating agricultural activity. There are also some faint linear structures that could represent domestic architecture or small residential units amidst the fields. The clarity of the structures is limited, which impacts confidence levels."
27,19261,Unfortified settlement(3 - Medium Confidence) -- Estancia(4 - High Confidence),Corral -- NA,"The image shows two distinct circular or oval enclosures, suggesting a corral complex potentially used for livestock. The surrounding terrain is relatively barren, indicating a possible grazing area. The structures are well-defined, resembling traditional corrals seen in similar contexts."
28,22525,Corral;locus_type_name: Agropastoral Infrastructure(4 - High Confidence) -- Corral(4 - High Confidence),Corral -- NULL,"Multiple straight lines indicative of agricultural activity, likely furrows. The pattern suggests organized land use, possibly for crop planting. While there is limited evidence of architecture, some faint outlines may suggest underlying structures."
29,23589,Unfortified settlement(3 - Medium Confidence) -- Estancia(3 - Medium Confidence),Domestic architecture -- Residential structure,"The image shows segmented terraces prominently along the slopes, suggesting agricultural use. A corral structure is visible near the lower central area, indicating livestock management. The terracing appears well-preserved with distinct separation between segments."
30,17934,Agropastoral Infrastructure(4 - High Confidence) -- Corral(2 - Low Confidence),Corral -- NULL,The image displays an area with several rounded structures that form a pattern typical of a corral. The curved path crossing through suggests access routes commonly associated with grazing areas. Some dispersed small structures might indicate temporary shelters or stations within the corral area. The presence of vegetation patterns indicates a possible grazing zone.
31,25993,Agropastoral Infrastructure(3 - Medium Confidence) -- Corral(2 - Low Confidence),Corral -- NULL,"The image displays a network of parallel lines indicative of furrowed fields. There may be traces of foundations or outlines that suggest domestic architecture, but these are less distinct. The patterns are typical of agricultural use, possibly indicating past or present farming activity."
32,11781,Unfortified settlement(3 - Medium Confidence) -- Estancia(4 - High Confidence),Domestic architecture -- Residential structure,"The image shows terraced sections indicative of sloping agricultural fields. There are possible signs of corrals, although the structures are not clearly defined. The general orientation suggests agricultural usage with some enclosure areas."
33,4690,Unfortified settlement(5 - Very High Confidence) -- Estancia(5 - Very High Confidence),Domestic architecture -- Residential structure,"The image reveals a series of circular and possibly quadrangular shapes that are indicative of a corral complex, similar to examples of corral complexes noted in other studies. The density and arrangement of these shapes suggest an area used for livestock management, possibly with multiple corral sectors."
34,11447,Unfortified settlement(4 - High Confidence) -- Estancia(4 - High Confidence),Corral -- NA,"The image shows an area with subtle, linear patterns that may suggest terracing. There are multiple faint lines indicating possible terraces with stone facings. However, due to the grayscale and resolution, identifying distinct structures is challenging. The area may contain residential features, but this is unclear due to the image quality."
35,6496,Unfortified settlement(4 - High Confidence) -- Estancia(3 - Medium Confidence),Domestic architecture -- Residential structure,"The image displays linear patterns consistent with agricultural furrows, suggesting the presence of cultivated fields. There may be indications of domestic structures, but they are not distinctly visible, leading to a moderate confidence level in this feature classification."
36,17158,Unfortified settlement(2 - Low Confidence) -- Estancia(4 - High Confidence),Domestic architecture -- Residential structure,"The image shows distinct quadrangular and circular enclosures indicative of a corral complex. The structures appear well-defined, likely serving to contain livestock. Terrain suggests grazing land usage with sparse vegetation around the enclosures, which supports pastoral activities."
37,20196,Agropastoral Infrastructure(5 - Very High Confidence) -- Corral(5 - Very High Confidence),NULL -- NULL,"The image shows a distinct enclosure structure, indicative of a corral. The walls are well-defined and form a quadrangular shape, which is typical for corrals. The surrounding area appears relatively open, supporting the identification as a corral used for livestock or farming practices."
38,6314,Unfortified settlement(3 - Medium Confidence) -- Estancia(4 - High Confidence),Domestic architecture -- Residential structure,"The image shows structured, elevated sections suggesting stone faced contour terraces. The clear outlines and defined shapes indicate possible human activity or construct, potentially for ceremonial purposes. The presence of terraces is indicative of historical agricultural practices."
39,21394,Unfortified settlement(4 - High Confidence) -- Estancia(3 - Medium Confidence),Corral -- NA,"The image appears to show a high elevation terrain with possible man-made structures indicating ceremonial use. The location and lack of dense residential patterns suggest its use as a shrine or ceremonial site rather than a habitation area. Vegetation is sparse, and the terrain is uneven, consistent with structures on hilltops or mountains."
40,10600,Unfortified settlement(4 - High Confidence) -- Estancia(4 - High Confidence),Corral -- NA,"The area contains circular structures characteristic of corrals. There are two main circular enclosures visible, with surrounding scattered small structures. The site may function as a traditional livestock management area. The texture suggests well-trodden ground common in animal enclosures."
41,27702,Unfortified settlement(4 - High Confidence) -- Estancia(4 - High Confidence),Domestic architecture -- Residential structure,"The image shows segmented terracing with visible linear features that may indicate walls or boundaries of residential structures. The layout suggests a structured approach to land use, with terracing likely used for agriculture or grazing."
42,7659,Unfortified settlement(5 - Very High Confidence) -- Estancia(5 - Very High Confidence),Domestic architecture -- Residential structure,"An isolated rectangular structure is visible in the center of the image. The structure appears to be standalone and has distinct, straight walls resembling a small enclosed space. There are no additional noticeable features surrounding the structure, suggesting it may have served a singular, possibly residential, purpose."
43,27832,4 - High Confidence;locus_type_name: Agropastoral Infrastructure(4 - High Confidence) -- Stone faced contour terraces(4 - High Confidence),NULL -- NULL,"The image shows a series of sloping fields with visible contour lines, indicative of terracing. The lack of distinct architectural structures suggests the main focus is agricultural, possibly used for erosion control or crop cultivation. No notable features related to domestic or ceremonial architecture are visible."
44,26243,Corral;locus_type_name: Unfortified settlement -- Estancia,NA -- NA,"The image shows a clear outline of a corral complex with distinct boundaries. There are adjacent rectangular features suggesting domestic architecture, possibly a residence-corral combination. The surrounding terrain appears to be used for grazing. The image suggests a historical settlement pattern with corrals and domestic structures integrated."
45,13920,Unfortified settlement(5 - Very High Confidence) -- Estancia(5 - Very High Confidence),Domestic architecture -- Residential structure,"The image shows a distinctive circular formation typical of a corral, possibly used for containing livestock. The surrounding area appears to have paths leading towards this structure, indicating its possible use as a grazing or livestock management area."
46,5823,Agropastoral Infrastructure(3 - Medium Confidence) -- Corral(4 - High Confidence),Corral -- NULL,"The image shows a circular structure that appears to function as a corral. The surrounding landscape is relatively barren with scattered vegetation and a clearly visible path or road running across. The corral structure is likely used for livestock management, as indicated by the enclosing circular pattern and the adjacent open areas."
47,5748,Unfortified settlement(3 - Medium Confidence) -- Estancia(4 - High Confidence),Domestic architecture -- Residential structure,"The image shows an area with possible small-scale agricultural activity. The patterns suggest domestic architecture, indicating structures associated with rural habitation. The central area appears denser, possibly indicating a residential or farm area with surrounding fields."
48,20651,5 - Very High Confidence;locus_type_name: Agropastoral Infrastructure(5 - Very High Confidence) -- Corral(5 - Very High Confidence),NULL -- NULL,"The image displays a prominent circular structure which appears to be a corral, given the visible boundaries. It is located in an open field with no adjacent structures observed, suggesting it might be isolated or primarily used for livestock. The visibility of circular wall outlines suggests moderate preservation."
49,6875,Unfortified settlement(4 - High Confidence) -- Estancia(4 - High Confidence),Domestic architecture -- Residential structure,
50,21175,Unfortified settlement(4 - High Confidence) -- Estancia(3 - Medium Confidence),Domestic architecture -- Residential structure,"The image displays a small, isolated structure amidst a sparse landscape, suggesting potential domestic usage. The outlines are not very distinct, but there seems to be a solitary building characteristic of isolated residences."
51,24296,Agropastoral Infrastructure(3 - Medium Confidence) -- Segmented terracing(2 - Low Confidence),NULL -- NULL,"The image shows a general settlement area with indistinct structures. The outlines suggest a possible grouping of residential units with a few scattered rectangular shapes. The terrain does not present clear indicators of specific terracing or corrals, but the presence of grouped structures hints at residential use. Further, the surrounding landscape appears slightly terraced, possibly indicating human modification."
52,25047,Agropastoral Infrastructure(3 - Medium Confidence) -- Corral(3 - Medium Confidence),Corral -- NULL,The image shows a distinct corral structure characterized by a series of enclosures or segmented patterns. The arrangement is consistent with livestock management. Vegetation patterns around the enclosure suggest grazing areas.
53,17956,Agropastoral Infrastructure(4 - High Confidence) -- Stone faced contour terraces(4 - High Confidence),NULL -- NULL,"The image shows a series of parallel earthworks, likely used for agriculture, consistent with contour terracing. Erosion patterns suggest unfaced construction. Some small, scattered structures could be associated with domestic use, though details are indistinct."
54,17968,4 - High Confidence;locus_type_name: Unfortified settlement(3 - Medium Confidence) -- Estancia(3 - Medium Confidence),Domestic architecture -- Residential structure,"The image shows a series of parallel lines indicating the presence of furrowed crop fields. The clear and consistent pattern suggests agricultural activity, likely used for planting various crops. No distinct features of domestic or ceremonial architecture are visible."
55,16729,Unfortified settlement(5 - Very High Confidence) -- Estancia(5 - Very High Confidence),Domestic architecture -- Residential structure,"The image shows a circular structure consistent with a corral. It appears isolated with a well-defined perimeter. The surrounding area displays minimal additional features, suggesting the structure's primary purpose as an enclosure."
56,18032,Unfortified settlement(5 - Very High Confidence) -- Estancia(5 - Very High Confidence),Domestic architecture -- Residential structure,"The image displays an array of enclosures resembling corrals, with visible boundaries separating distinct areas. The central region appears to have irregular shapes, possibly indicating areas for livestock or farming. The surrounding landscape shows terracing and furrow patterns, suggesting agricultural activities in the vicinity."
57,12583,Unfortified settlement(3 - Medium Confidence) -- Estancia(4 - High Confidence),Domestic architecture -- Residential structure,The image shows a circular structure that appears to be a corral complex. The boundaries are defined and there is evidence of vegetation within and around the structure. Some dispersed elements may suggest additional smaller features or structures nearby. The context suggests usage related to grazing or livestock management.
58,16234,Unfortified settlement(3 - Medium Confidence) -- Estancia(4 - High Confidence),Domestic architecture -- Residential structure,"The image reveals a large circular feature likely indicative of a corral, accompanied by rectangular structures that form part of a settlement. The contrast between natural terrain and anthropogenic patterns is evident. Multiple structures suggest a complex with both residential and agricultural functionalities."
59,22111,Unfortified settlement(4 - High Confidence) -- Isolated structure(4 - High Confidence),Domestic architecture -- Residential structure,"The image displays irregular, possibly furrowed patterns on a sloped terrain, suggesting agricultural sloping fields likely used for crop cultivation or drainage. No distinct man-made structures are visibly prominent for classification under specific features."
60,5381,Agropastoral Infrastructure(4 - High Confidence) -- Corral(4 - High Confidence),Corral -- NULL,"The image depicts a layout characteristic of corrals with multiple circular or semi-circular formations. The formations suggest organized enclosures likely used for livestock, with pathways evident around the perimeter."
61,26211,Unfortified settlement(4 - High Confidence) -- Estancia(4 - High Confidence),Corral -- NA,"The image shows a circular and rectangular structure indicative of a corral complex. There seem to be multiple enclosed areas that are likely used for livestock management. The clarity of the structures suggests that this area is primarily used for agricultural purposes, with visible walls that might be used to control animal movement."
62,8196,Unfortified settlement(2 - Low Confidence) -- Isolated structure(2 - Low Confidence),Domestic architecture -- Residential structure,"The image displays multiple layers of stone faced contour terraces on the hillside, which is indicative of agricultural activity. There are signs of small, dispersed structures that could potentially point to domestic use, possibly seasonal residences for agricultural workers. The terraces appear well-preserved, suggesting continued or relatively recent use."
63,11148,Unfortified settlement(5 - Very High Confidence) -- Estancia(5 - Very High Confidence),Domestic architecture -- Residential structure,"The image shows a fairly homogeneous terrain with subtle linear patterns suggesting possible sloping fields. The lack of distinct architectural features makes it difficult to confidently identify specific domestic architecture. Cloud cover may obscure additional details, inhibiting precise classification."
64,19807,Residential structure;locus_type_name: Agropastoral Infrastructure(5 - Very High Confidence) -- Corral(5 - Very High Confidence),Domestic architecture -- Residential structure;locus_type_name: Agropastoral Infrastructure,The image shows faint lines that suggest the presence of unfaced earthen contour terraces. There is a hint of circular structures which may indicate domestic buildings or ancient residences. The overall visibility of structures is low due to the grayscale and potential erosion.
65,9100,Agropastoral Infrastructure(4 - High Confidence) -- Stone faced contour terraces(4 - High Confidence),NULL -- NULL,"The image shows an area with visible slope and contour lines that suggest terraced or furrowed agricultural fields. Some patterns and lines may indicate the presence of domestic structures, but they are not clearly defined. The area appears to be utilized possibly for both agriculture and habitation, but more information is needed for precise identification."
66,11093,Unfortified settlement(3 - Medium Confidence) -- Estancia(4 - High Confidence),Domestic architecture -- Residential structure,"The image appears to show faint outlines that could indicate terracing but lacks distinctive wall features, suggesting it might be unfaced earthen contour terracing. Minimal architectural features are visible, possibly indicating basic domestic structures. Visibility of key features is limited due to the grayscale quality and resolution of the image."
67,27778,Unfortified settlement(4 - High Confidence) -- Estancia(4 - High Confidence),Domestic architecture -- Residential structure,"The image shows a sloping terrain with visible contour lines, suggesting agricultural activity. There appears to be a corral-like structure, but clarity is limited due to image quality. The presence of terraces is not clearly distinguishable."
68,4954,Agropastoral Infrastructure(4 - High Confidence) -- Reservoir(4 - High Confidence),NULL -- NULL,"The image shows patterns consistent with furrowed crop fields. There aren't distinct structural features visible, suggesting the presence of agriculture activity rather than residential or ceremonial architecture."
69,15019,Unfortified settlement(3 - Medium Confidence) -- Estancia(4 - High Confidence),Domestic architecture -- Residential structure,"The image shows a landscape with subtle linear patterns that could indicate furrowed crop fields. These patterns suggest agricultural activity, potentially associated with nearby residential areas. The grayscale tones and shading differences support the presence of furrows, indicating planned agricultural practice."
70,41959,Unfortified settlement(4 - High Confidence) -- Estancia(4 - High Confidence),Domestic architecture -- NULL,"The image displays a series of terraced slopes, likely used for agriculture, suggesting unfaced earthen contour terracing due to the visible natural formations at varying elevations. The presence of distributed rectangular patterns may indicate some form of domestic structures amidst the terraced fields. However, the clarity of structural outlines is limited, placing more emphasis on the terracing feature observed."
71,4567,4 - High Confidence;locus_type_name: Agropastoral Infrastructure(4 - High Confidence) -- Stone faced contour terraces(4 - High Confidence),NULL -- NULL,"The image shows distinct terracing patterns, indicating segmented contour terraces along a slope. Few structures are visible, suggesting possible domestic architecture within the terraced areas. Vegetation is sparse, highlighting erosion patterns that may be impacting the site's current state."
72,10814,Residential structure;locus_type_name: Agropastoral Infrastructure(2 - Low Confidence) -- Surcos / Furrows(1 - Very Low Confidence),Domestic architecture -- Residential structure;locus_type_name: Agropastoral Infrastructure,"The image shows a terrain with noticeable sloping and some terracing visible, indicating possible agricultural activity. There appear to be some scattered structures which could correspond to residential units. The orientation of the terraces suggests strategic use for crop cultivation, possibly in conjunction with small habitation sites."
73,18191,Unfortified settlement(4 - High Confidence) -- Estancia(3 - Medium Confidence),Corral -- NA,"The image shows an area with a central depression that could be a reservoir, surrounded by irregular structures possibly indicating corral boundaries. The surrounding vegetation appears more dense on one side, likely due to water proximity. The features are distinct but lack sharp definition typical of stone structures."
74,17563,Agropastoral Infrastructure(5 - Very High Confidence) -- Corral(5 - Very High Confidence),NULL -- NULL,"The image shows uneven terrain with visible paths and possible water flow areas. There is a circular feature that may indicate past human activity, potentially related to domestic structures. Vegetation patterns suggest sloping fields that are consistent with past agricultural activity."
75,16034,Agropastoral Infrastructure(4 - High Confidence) -- Stone faced contour terraces(4 - High Confidence),NULL -- NULL,"The image shows a pattern of parallel lines indicative of furrowed crop fields, likely designed for agricultural purposes. Some subtle structures may suggest domestic architecture, though their forms are not sharply defined. This pattern suggests active cultivation with possible residential areas nearby."
76,24469,Agropastoral Infrastructure(5 - Very High Confidence) -- Segmented terracing(5 - Very High Confidence),NULL -- NULL,"The image shows a series of linear patterns indicative of furrows, likely for agricultural purposes. There are potential signs of domestic architecture visible in some areas, although details are ambiguous due to the image quality. The overall layout suggests a structured agricultural site with some residential implications."
77,13207,Unfortified settlement(4 - High Confidence) -- Estancia(4 - High Confidence),Domestic architecture -- Residential structure,"The image shows circular formations that resemble corral structures commonly found in grazed areas. The orientation and layout suggest use related to agricultural or pastoral activities, with a notable adjacent pathway that may indicate access routes."
78,4683,Unfortified settlement(5 - Very High Confidence) -- Estancia(5 - Very High Confidence),Domestic architecture -- Residential structure,"The image shows a singular structure with a distinct shape, indicating human-made construction. The surrounding terrain appears undisturbed, suggesting isolation. The structure could be part of a small domestic setup or a standalone edifice."
79,20787,Residential structure;locus_type_name: Unfortified settlement(2 - Low Confidence) -- Estancia(2 - Low Confidence),Domestic architecture -- Residential structure,"This image shows several circular and semi-circular patterns consistent with corrals. The structures are densely packed, suggesting a corral complex. The lack of clear linear features indicative of residential architecture supports the identification as a corral area."
80,18590,Unfortified settlement(4 - High Confidence) -- Estancia(3 - Medium Confidence),Domestic architecture -- Residential structure,"The image displays a distinct circular pattern that is characteristic of corral structures. There are signs of enclosures, suggesting a possible livestock area. The circular formations on the terrain support the identification as a corral complex, with some scattered dots indicating possible smaller units within the primary structure."
81,7041,Unfortified settlement(4 - High Confidence) -- Estancia(4 - High Confidence),Domestic architecture -- Residential structure,"The image shows a circular, enclosed area suggestive of a corral, with some straight lines possibly indicating walls or fencing commonly seen in corral complexes. The surrounding terrain appears relatively uniform, possibly used for grazing. The pathway suggests accessibility likely intended for livestock movement."
82,26631,Residential structure;locus_type_name: Unfortified settlement(4 - High Confidence) -- Estancia(4 - High Confidence),Corral -- NA,"The image displays a cluster of rectangular and possibly circular structures, indicating a potential settlement area. The arrangement and spacing suggest residential use, with clearly defined boundaries and some varied shapes. The positioning could relate to elevation or contouring in the region."
83,28188,Unfortified settlement(4 - High Confidence) -- Estancia(4 - High Confidence),Corral -- NA,"The image shows two rectangular enclosures which appear to be isolated structures, possibly corrals, on a barren or lightly vegetated landscape. The rectangular shape and layout suggest organized use of space typical of corrals or enclosures for livestock. The structures are distinct but not densely clustered."
84,13821,Unfortified settlement(5 - Very High Confidence) -- Estancia(5 - Very High Confidence),Domestic architecture -- Residential structure,"The image shows a prominent elevation with possible ceremonial significance, indicated by its position and the surrounding terrain. The structure appears isolated, which may suggest its use for public or communal gatherings. Visibility of the features is moderate, hence the confidence levels."
85,2709,Agropastoral Infrastructure(4 - High Confidence) -- Segmented terracing(4 - High Confidence),NULL -- NULL,"The image shows enclosed areas with stone-like boundaries suggesting the presence of multiple corrals. The large and small sizes may indicate various purposes, possibly separating different livestock types. The arrangement provides insight into past agricultural practices. Sparse adjacent structures hint at minimal domestic architecture."
86,16067,Unfortified settlement(5 - Very High Confidence) -- Estancia(5 - Very High Confidence),Domestic architecture -- Residential structure,"The image shows an isolated rectangular structure located near a path. The orientation and placement suggest it could be a residential unit, possibly used in agricultural contexts based on its surroundings."
87,23558,Agropastoral Infrastructure(3 - Medium Confidence) -- Segmented terracing(2 - Low Confidence),NULL -- NULL,"The image displays what appears to be gently sloping fields with some visible signs of linear patterns, possibly indicating ancient or recent farming techniques. There are subtle indications of possible domestic structures, though they are not distinctly identifiable."
88,29105,Unfortified settlement(3 - Medium Confidence) -- Estancia(3 - Medium Confidence),Domestic architecture -- Residential structure,"The image indicates a circular structure, likely a corral, with faint outlines suggesting the presence of domestic architecture. The terrain surrounding the structure appears rough and uneven, which is characteristic of grazing areas."
89,23786,Agropastoral Infrastructure(5 - Very High Confidence) -- Waru Waru(5 - Very High Confidence),NULL -- NULL,"The image prominently features a series of parallel linear patterns consistent with agricultural furrows. There is a structure near the center of the image, suggesting some form of domestic architecture or possibly a small farm structure. The surrounding area appears to be used for cultivation, likely indicating agricultural activity. The presence of furrows points to organized farming practices."
90,15930,Unfortified settlement(3 - Medium Confidence) -- Estancia(2 - Low Confidence),Domestic architecture -- Residential structure,The image shows a relatively uniform terrain with some light markings that could indicate water gathering areas. The absence of distinct structures makes it challenging to categorize with high confidence.
91,24248,Agropastoral Infrastructure(3 - Medium Confidence) -- Segmented terracing(2 - Low Confidence),NULL -- NULL,
92,9297,4 - High Confidence;locus_type_name: Agropastoral Infrastructure(4 - High Confidence) -- Stone faced contour terraces(4 - High Confidence),NULL -- NULL,"The image shows a series of furrowed patterns, indicative of agricultural activity. There are also scattered structures that may represent domestic architecture, suggesting human habitation. The variation in patterns suggests possible segmented terracing or agricultural fields."
93,24419,Unfortified settlement(4 - High Confidence) -- Estancia(4 - High Confidence),Corral -- NA,"The image shows distinct circular and rectangular outlines indicative of a corral complex. These features suggest livestock enclosures, with clear separations between different sectors. The terrain is largely open with few other structural indications."
94,24687,Unfortified settlement(4 - High Confidence) -- Estancia(4 - High Confidence),Corral -- NA,"The image displays multiple parallel lines consistent with cultivated fields featuring furrows, indicating agricultural activity. The absence of distinguishable architectural features suggests minimal to no permanent structures. The pattern appears to be primarily agricultural with no clear indication of residential or ceremonial use."
95,28596,Unfortified settlement(4 - High Confidence) -- Estancia(4 - High Confidence),Corral -- NA,"The image shows a distinct structure that resembles a corral with well-defined boundaries. There are indications of smaller units nearby, possibly residential, given their size and distribution. The circular formation to the right may suggest a secondary use area or a feature of ceremonial significance impacted by erosion."
